 119.0  795.8 26.20       3.16 2
 128.3  819.7 26.47       1.84 3
 137.3  531.7 26.53       0.10 2
 157.5  534.6 21.15       5.72 2
 158.5  659.5 27.60       0.57 1
 161.8  657.4 27.43       1.55 4
 166.7  383.5 25.12       0.94 4
 167.5  667.4 26.03       1.33 4
 175.8  277.1 23.66       1.81 3
 180.3  639.5 25.95       6.77 2
 182.7  869.8 21.31       0.94 1
 194.0  852.0 24.25       1.11 3
 195.7  341.8 26.53       1.87 4
 200.1  837.0 27.18       2.06 4
 207.2  606.9 23.87       5.60 2
 220.3  351.2 25.33       1.20 4
 224.7  514.1 26.88       1.42 4
 235.7  517.2 25.23       2.55 2
 236.0  919.0 22.54       4.15 4
 238.1  673.9 26.74       1.21 4
 244.3  842.9 25.61       0.92 4
 249.6  680.1 27.29       0.41 2
 250.2  524.9 25.28       1.33 4
 251.2  400.8 24.01       1.53 2
 254.6  488.6 25.93       0.21 3
 259.8  632.4 24.69       1.15 2
 265.2  718.2 26.59       0.12 3
 265.9  964.6 26.26       4.09 2
 269.6  415.2 25.64       4.70 2
 271.8  458.8 25.07       0.38 3
 273.1  801.8 25.19       2.55 4
 280.0  819.4 27.32       0.0011 2
 281.3  640.9 28.42       3.89 2
 283.5  375.7 23.66       0.44 4
 284.1  516.3 27.48       6.41 2
 286.9  391.8 25.11       1.28 2
 290.1  484.0 27.22       5.28 2
 290.2  563.6 24.31       0.60 3
 292.0  436.0 24.68       1.09 4
 300.3  955.3 26.30       4.69 2
 302.5  655.3 27.35       0.85 2
 311.4  775.0 26.84       2.78 2
 312.7  291.2 25.35       1.42 4
 317.1  817.8 23.44       0.89 4
 318.0  855.0 25.36       0.23 3
 322.6  482.5 26.09       1.90 2
 323.0  955.8 24.88       1.21 4
 329.5  931.2 27.45       4.89 2
 332.6  665.2 27.45       6.26 2
 336.0  864.0 25.45       3.52 2
 338.0  613.0 26.38       1.06 4
 339.0  880.0 24.95       1.04 2
 339.5  937.1 27.34       1.00 4
 341.6  913.8 24.98       0.71 4
 343.8  957.3 25.70       2.77 2
 353.0  444.6 23.14       1.39 3
 358.1  678.4 26.98       1.03 2
 359.2  857.4 27.62       4.91 2
 360.1  412.6 25.45       1.39 3
 360.8  786.2 28.71       0.22 3
 360.5  791.0 28.42       3.40 3
 361.5  653.1 27.09       0.98 4
 363.4  904.3 26.94       0.96 4
 365.7  696.1 23.30       0.40 3
 366.8  315.2 25.12       1.90 2
 367.4  788.2 26.05       1.55 2
 370.7  360.2 27.11       0.82 2
 371.1  582.3 24.76       1.35 4
 371.6  892.8 24.09       3.27 4
 372.8  650.8 25.95       0.45 2
 372.8  802.4 27.18       1.45 4
 372.8  967.3 27.02       0.07 2
 374.1  307.9 24.77       1.39 4
 375.4  382.5 26.20       0.69 4
 379.7  649.1 26.38       1.25 4
 380.0 1027.7 21.71       0.99 3
 381.8  481.4 21.70       0.60 2
 390.6  902.2 27.59       1.49 3
 393.3  754.9 26.79       1.19 2
 394.9  991.0 23.97       1.40 4
 398.0  695.0 27.74       2.55 2
 398.5  691.5 29.10       0.59 2
 400.4  447.8 28.23       0.06 3
 402.6  377.0 26.41       0.85 2
 408.8  729.0 26.64       0.36 2
 409.0 1022.7 26.42       0.57 2
 412.0  957.6 26.47       0.06 2
 414.2  393.3 25.83       0.001 3
 415.9  771.6 24.76       1.11 4
 417.3  731.7 24.79       0.41 4
 419.4  572.2 21.66       1.01 3
 426.1  706.1 27.25       2.19 4
 427.8  981.3 27.26       1.75 2
 432.1  343.0 25.42       0.75 3
 435.5  802.0 19.74       0.43 1
 435.6 1036.6 26.58       2.18 4
 440.3  353.4 24.48       2.32 2
 444.6  378.5 26.43       0.001 3
 446.5  906.9 27.43       1.01 4
 453.9  722.6 26.89       1.22 4
 454.8  653.9 26.44       1.61 3
 455.0  831.8 23.22       3.58 2
 457.6  605.6 26.83       0.001 2
 458.2  597.3 27.13       4.22 4
 464.5  520.5 26.64       2.33 2
 464.7  709.8 27.44       1.55 2
 465.6 1037.9 25.59       1.89 4
 471.4  776.9 23.74       2.13 2
 471.8  942.0 27.79       5.13 1
 472.1  850.8 24.42       1.89 4
 478.8  287.6 27.24       1.65 2
 481.9 1007.0 26.69       5.67 2
 485.4  278.5 26.71       4.37 2
 485.4 1053.9 24.76       1.33 4
 487.3  265.6 25.14       3.96 2
 487.4  476.5 25.68       0.10 3
 489.8  939.5 23.39       0.49 3
 494.0 1050.8 26.35       0.001 2
 495.2  294.9 24.88       0.39 4
 495.6  701.4 27.10       0.82 2
 498.7  771.7 24.52       3.99 2
 498.6  826.3 24.96       2.30 3
 499.6 1093.7 25.36       1.42 3
 501.7  899.7 23.91       2.39 4
 501.8 1049.3 28.16       0.001 2
 504.4  586.3 26.41       0.31 2
 506.0 1048.5 28.06       7.72 2
 506.5  571.4 27.38       2.78 2
 507.4  451.4 23.18       1.65 3
 509.4  730.8 26.49       1.05 4
 511.7  744.7 26.79       0.001 2
 514.2  799.9 27.66       3.65 2
 514.7 1062.1 23.00       0.83 4
 517.0  641.7 26.96       1.28 4
 519.2  462.2 28.25       0.07 2
 522.9  517.3 28.14       1.76 2
 524.4  937.8 25.20       2.83 4
 524.5 1052.9 23.83       1.42 4
 525.9  527.5 26.90       1.90 2
 525.6  912.6 27.28       1.04 2
 527.9  274.3 25.33       1.18 2
 530.9  428.7 27.59       1.77 2
 530.2  562.5 26.64       5.24 2
 534.7  411.3 27.90       0.41 2
 535.2  705.7 25.20       0.11 4
 535.8  925.4 27.33       2.73 2
 539.7  504.5 24.52       0.94 4
 539.8 1014.9 27.04       1.84 3
 539.7 1050.5 25.49       1.38 4
 544.1  360.7 27.48       1.76 3
 547.5  576.0 26.33       0.64 3
 548.3  548.3 27.53       0.09 2
 551.4  441.7 26.47       0.89 4
 555.1  764.7 27.88       1.41 4
 564.0  817.4 27.91       6.20 2
 565.3  941.0 25.00       2.33 2
 566.5  646.7 27.34       1.39 4
 567.7  987.1 26.96       0.42 2
 568.1  677.2 27.70       2.55 4
 569.6  355.7 26.70       0.24 2
 571.4  292.4 26.59       3.55 3
 575.0  723.5 26.23       2.55 2
 576.5  419.4 26.51       0.59 2
 577.3  608.1 27.44       3.26 2
 581.8  922.7 26.09       1.11 4
 584.5  416.2 27.58       0.05 2
 586.9  724.7 27.48       0.001 2
 587.3  712.1 27.39       2.17 2
 589.7  772.5 26.31       3.47 3
 590.3  389.0 28.25      10.70 2
 592.7  672.2 27.68       1.93 2
 594.1  754.6 26.77       1.09 4
 595.5  430.3 25.53       0.98 3
 596.8 1002.5 23.59       1.93 2
 598.2  957.8 25.27       1.82 4
 599.0  770.0 25.53       3.36 3
