 1216.00  1.362E+31
 1335.00  5.241E+29
 1663.00  2.904E+29
 1907.00  3.449E+29
 2141.00  1.965E+29
 2326.00  3.424E+29
 2798.00  1.431E+29
 3692.00  9.607E+28
 3698.00  9.750E+28
 3704.00  9.853E+28
 3713.00  1.004E+29
 3723.00  1.027E+29
 3727.00  2.109E+30
 3735.00  1.040E+29
 3750.00  1.144E+29
 3770.00  1.279E+29
 3797.00  1.378E+29
 3835.00  1.406E+29
 3869.00  3.249E+29
 3889.00  1.675E+29
 3970.00  1.989E+29
 4070.00  1.721E+29
 4101.00  2.860E+29
 4340.00  4.204E+29
 4363.00  1.487E+29
 4471.00  1.711E+29
 4861.00  7.737E+29
 5007.00  3.133E+30
 5199.00  1.270E+29
 5755.00  1.125E+29
 5876.00  1.946E+29
 6300.00  1.771E+29
 6312.00  1.096E+29
 6562.00  2.057E+30
 6583.00  8.622E+29
 6678.00  1.130E+29
 6716.00  4.905E+29
 6730.00  3.634E+29
 7135.00  2.397E+29
 7330.00  1.076E+29
 8750.50  7.147E+28
 8862.80  7.453E+28
 9014.90  7.432E+28
 9069.00  1.918E+30
 9229.00  7.800E+28
 9546.00  8.254E+28
10049.40  9.155E+28
10330.00  1.633E+29
10691.00  6.351E+28
10830.00  2.022E+29
10938.10  1.088E+29
12800.00  9.197E+28
12818.10  1.476E+29
16440.00  4.949E+28
18751.00  2.257E+29
19445.00  2.860E+28
20581.00  2.104E+28
21230.00  2.093E+28
21656.00  3.104E+28
26252.00  3.860E+28
40512.00  6.340E+28
